element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Hg	2	"103.4691"	"0.0005"	"103.46904"	"0.00010"	"20"	"1.6e+07"	"2.6e-03"		"51486.070"	"148133.339"	"5d10.6p"	"2P*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,3/2]"	"1/2"		"T7226"	"L11760"	
Hg	2	"103.9631"	"0.0005"	"103.96315"	"0.00010"	"200000"	"3.0e+08"	"4.9e-02"		"0.000"	"96187.932"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"1/2"		"T7226"	"L11760"	
Hg	2	"105.2960"	"0.0005"	""	""	"150"	""	""		""	""	""	""	""	""	""	""		""	"L11760"	
Hg	2	"106.2780"	"0.0004"	"106.27802"	"0.00010"	"200000"	"5.2e+07"	"1.8e-02"		"0.000"	"94092.834"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"3/2"		"T7226"	"L11760"	
Hg	1	"106.680"	"0.007"	"106.6821"	"0.0003"	"8"	""	""		"0.000"	"93736.4"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).6p"	"2[3/2]*"	"1"		""	"L15166c86"	
Hg	3	"106.803"	"0.010"	""	""	"5"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	2	"107.0369"	"0.0005"	"107.03697"	"0.00010"	"120"	"2.3e+07"	"7.9e-03"		"51486.070"	"144911.731"	"5d10.6p"	"2P*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"3/2"		"T7226"	"L11760"	
Hg	2	"107.3337"	"0.0005"	"107.33344"	"0.00010"	"15l"	"9.2e+06"	"3.2e-03"		"51486.070"	"144653.677"	"5d10.6p"	"2P*"	"1/2"	"5d10.11d"	"2D"	"3/2"		"T7226"	"L11760"	
Hg	2	"107.4416"	"0.0005"	"107.44168"	"0.00010"	"12"	"3.0e+06"	"1.0e-03"		"51486.070"	"144559.816"	"5d10.6p"	"2P*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"3/2"		"T7226"	"L11760"	
Hg	2	"108.3646"	"0.0004"	"108.36484"	"0.00010"	"500"	"1.5e+07"	"1.8e-03"		"35514.624"	"127795.481"	"5d9.6s2"	"2D"	"5/2"	"5d10.8p"	"2P*"	"3/2"		"T7226"	"L11760"	
Hg	2	"109.6804"	"0.0005"	"109.68014"	"0.00010"	"40"	"2.1e+07"	"7.6e-03"		"51486.070"	"142660.277"	"5d10.6p"	"2P*"	"1/2"	"5d10.10d"	"2D"	"3/2"		"T7226"	"L11760"	
Hg	2	"110.5878"	"0.0005"	"110.58742"	"0.00010"	"50"	"3.8e+07"	"7.0e-03"		"51486.070"	"141912.265"	"5d10.6p"	"2P*"	"1/2"	"5d10.11s"	"2S"	"1/2"		"T7226"	"L11760"	
Hg	2	"112.2335"	"0.0005"	"112.23323"	"0.00010"	"8"	"2.0e+07"	"2.5e-03"		"35514.624"	"124614.794"	"5d9.6s2"	"2D"	"5/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"3/2"		"T7226"	"L11760"	
Hg	1	"112.660"	"0.010"	"112.6639"	"0.0003"	"100H,s"	""	""		"0.000"	"88759.6"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).6p"	"2[1/2]*"	"1"		""	"L15166c86"	
Hg	2	"112.8046"	"0.0004"	""	""	"40"	""	""		""	""	""	""	""	""	""	""		""	"L11760"	
Hg	2	"113.7700"	"0.0005"	"113.76988"	"0.00010"	"15"	"3.2e+06"	"6.2e-04"		"35514.624"	"123411.351"	"5d9.6s2"	"2D"	"5/2"	"5d10.5f"	"2F*"	"5/2"		"T7226"	"L11760"	
Hg	2	"114.1042"	"0.0004"	"114.10425"	"0.00010"	"15"	"9.2e+06"	"2.4e-03"		"35514.624"	"123153.775"	"5d9.6s2"	"2D"	"5/2"	"5d10.5f"	"2F*"	"7/2"		"T7226"	"L11760"	
Hg	2	"115.6795"	"0.0004"	"115.67945"	"0.00010"	"90"	"2.3e+07"	"4.6e-03"		"35514.624"	"121960.399"	"5d9.6s2"	"2D"	"5/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"		"T7226"	"L11760"	
Hg	2	"116.0382"	"0.0004"	"116.03825"	"0.00010"	"900"	"7.8e+07"	"3.1e-02"		"0.000"	"86178.478"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"3/2"		"T7226"	"L11760"	
Hg	3	"116.195"	"0.010"	""	""	"2"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	2	"116.2197"	"0.0004"	"116.21974"	"0.00010"	"5"	"4.7e+07"	"1.4e-02"		"60608.362"	"146652.263"	"5d10.6p"	"2P*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"		"T7226"	"L11760"	
Hg	1	"119.3977"	"0.0003"	"119.39757"	"0.00007"	"a"	""	""		"0.000"	"83753.80"	"5d10.6s2"	"1S"	"0"	"5d10.6s.20p"	"1P*"	"1"		""	"L13012"	
Hg	1	"119.4113"	"0.0003"	"119.41121"	"0.00009"	"a"	""	""		"0.000"	"83744.23"	"5d10.6s2"	"1S"	"0"	"5d10.6s.20p"	"3P*"	"1"		""	"L13012"	
Hg	1	"119.4824"	"0.0003"	"119.48225"	"0.00007"	"a"	""	""		"0.000"	"83694.44"	"5d10.6s2"	"1S"	"0"	"5d10.6s.19p"	"1P*"	"1"		""	"L13012"	
Hg	1	"119.4990"	"0.0003"	"119.49893"	"0.00009"	"a"	""	""		"0.000"	"83682.76"	"5d10.6s2"	"1S"	"0"	"5d10.6s.19p"	"3P*"	"1"		""	"L13012"	
Hg	1	"119.5859"	"0.0003"	"119.58591"	"0.00007"	"a"	""	""		"0.000"	"83621.89"	"5d10.6s2"	"1S"	"0"	"5d10.6s.18p"	"1P*"	"1"		""	"L13012"	
Hg	1	"119.6068"	"0.0003"	"119.60671"	"0.00007"	"a"	""	""		"0.000"	"83607.35"	"5d10.6s2"	"1S"	"0"	"5d10.6s.18p"	"3P*"	"1"		""	"L13012"	
Hg	1	"119.7147"	"0.0003"	"119.71461"	"0.00007"	"a"	""	""		"0.000"	"83531.99"	"5d10.6s2"	"1S"	"0"	"5d10.6s.17p"	"1P*"	"1"		""	"L13012"	
Hg	1	"119.7409"	"0.0003"	"119.74078"	"0.00007"	"a"	""	""		"0.000"	"83513.74"	"5d10.6s2"	"1S"	"0"	"5d10.6s.17p"	"3P*"	"1"		""	"L13012"	
Hg	1	"119.8772"	"0.0003"	"119.87734"	"0.00007"	"a"	""	""		"0.000"	"83418.60"	"5d10.6s2"	"1S"	"0"	"5d10.6s.16p"	"1P*"	"1"		""	"L13012"	
